# started on Wed Mar  1 14:16:39 2017

     0.505896386 5698587  cache-references
     0.505896386 1373690  cache-misses
     0.505896386 314784633  cycles
     0.505896386 309279292  instructions
     0.505896386 20824700  branches
     0.505896386 3943  faults
     0.505896386 0  migrations
     0.505896386 951  context-switches
     1.007362645 7433802  cache-references
     1.007362645 2485850  cache-misses
     1.007362645 833474840  cycles
     1.007362645 447935063  instructions
     1.007362645 81743102  branches
     1.007362645 6541  faults
     1.007362645 0  migrations
     1.007362645 379  context-switches
     1.508233493 3473215  cache-references
     1.508233493 2551686  cache-misses
     1.508233493 1314696599  cycles
     1.508233493 507024178  instructions
     1.508233493 86518993  branches
     1.508233493 906  faults
     1.508233493 0  migrations
     1.508233493 23  context-switches
     2.009225587 3477981  cache-references
     2.009225587 2653091  cache-misses
     2.009225587 1367382516  cycles
     2.009225587 295105078  instructions
     2.009225587 26963126  branches
     2.009225587 0  faults
     2.009225587 0  migrations
     2.009225587 4  context-switches
     2.509779148 3438486  cache-references
     2.509779148 2625417  cache-misses
     2.509779148 1370115742  cycles
     2.509779148 294581351  instructions
     2.509779148 26910162  branches
     2.509779148 0  faults
     2.509779148 0  migrations
     2.509779148 7  context-switches
     3.010591985 3506404  cache-references
     3.010591985 2685859  cache-misses
     3.010591985 1388872468  cycles
     3.010591985 299852096  instructions
     3.010591985 27410453  branches
     3.010591985 0  faults
     3.010591985 0  migrations
     3.010591985 3  context-switches
     3.511959533 3477385  cache-references
     3.511959533 2666144  cache-misses
     3.511959533 1395402092  cycles
     3.511959533 300531677  instructions
     3.511959533 27474840  branches
     3.511959533 0  faults
     3.511959533 0  migrations
     3.511959533 3  context-switches
     4.013316485 3442046  cache-references
     4.013316485 2628828  cache-misses
     4.013316485 1374253287  cycles
     4.013316485 296631059  instructions
     4.013316485 27136061  branches
     4.013316485 0  faults
     4.013316485 0  migrations
     4.013316485 4  context-switches
     4.513587638 3603033  cache-references
     4.513587638 2695914  cache-misses
     4.513587638 1357398808  cycles
     4.513587638 291209991  instructions
     4.513587638 26598869  branches
     4.513587638 0  faults
     4.513587638 0  migrations
     4.513587638 10  context-switches
     5.014327261 3642362  cache-references
     5.014327261 2721976  cache-misses
     5.014327261 1360968219  cycles
     5.014327261 290681827  instructions
     5.014327261 26519314  branches
     5.014327261 0  faults
     5.014327261 0  migrations
     5.014327261 6  context-switches
     5.516566301 3735203  cache-references
     5.516566301 2749663  cache-misses
     5.516566301 1346268642  cycles
     5.516566301 287897004  instructions
     5.516566301 26308078  branches
     5.516566301 0  faults
     5.516566301 0  migrations
     5.516566301 26  context-switches
     6.016836537 3698728  cache-references
     6.016836537 2738155  cache-misses
     6.016836537 1355205870  cycles
     6.016836537 292996067  instructions
     6.016836537 26711958  branches
     6.016836537 0  faults
     6.016836537 0  migrations
     6.016836537 4  context-switches
     6.517423614 3841350  cache-references
     6.517423614 2839147  cache-misses
     6.517423614 1383423153  cycles
     6.517423614 295548106  instructions
     6.517423614 26959842  branches
     6.517423614 0  faults
     6.517423614 0  migrations
     6.517423614 8  context-switches
     7.018194172 3686432  cache-references
     7.018194172 2732451  cache-misses
     7.018194172 1349126053  cycles
     7.018194172 287665468  instructions
     7.018194172 26243787  branches
     7.018194172 0  faults
     7.018194172 0  migrations
     7.018194172 6  context-switches
     7.518619408 3690857  cache-references
     7.518619408 2750621  cache-misses
     7.518619408 1350101189  cycles
     7.518619408 288335404  instructions
     7.518619408 26304365  branches
     7.518619408 0  faults
     7.518619408 0  migrations
     7.518619408 8  context-switches
     8.019176709 4049609  cache-references
     8.019176709 2764919  cache-misses
     8.019176709 1239473939  cycles
     8.019176709 423261949  instructions
     8.019176709 61979131  branches
     8.019176709 2373  faults
     8.019176709 0  migrations
     8.019176709 99  context-switches
     8.520373254 3794086  cache-references
     8.520373254 2716387  cache-misses
     8.520373254 1324352615  cycles
     8.520373254 388721952  instructions
     8.520373254 55928442  branches
     8.520373254 276  faults
     8.520373254 0  migrations
     8.520373254 20  context-switches
     9.020733866 3727684  cache-references
     9.020733866 2776653  cache-misses
     9.020733866 1380628365  cycles
     9.020733866 296530858  instructions
     9.020733866 27113153  branches
     9.020733866 0  faults
     9.020733866 0  migrations
     9.020733866 5  context-switches
     9.521282386 3759255  cache-references
     9.521282386 2792606  cache-misses
     9.521282386 1369040902  cycles
     9.521282386 292173647  instructions
     9.521282386 26678864  branches
     9.521282386 0  faults
     9.521282386 0  migrations
     9.521282386 9  context-switches
    10.021661074 3774215  cache-references
    10.021661074 2762547  cache-misses
    10.021661074 1317774664  cycles
    10.021661074 280132210  instructions
    10.021661074 25556624  branches
    10.021661074 0  faults
    10.021661074 0  migrations
    10.021661074 5  context-switches
    10.521983069 3779707  cache-references
    10.521983069 2757115  cache-misses
    10.521983069 1325298239  cycles
    10.521983069 281834307  instructions
    10.521983069 25717388  branches
    10.521983069 0  faults
    10.521983069 0  migrations
    10.521983069 11  context-switches
    11.022201870 3744345  cache-references
    11.022201870 2755903  cache-misses
    11.022201870 1310608948  cycles
    11.022201870 277657341  instructions
    11.022201870 25291373  branches
    11.022201870 0  faults
    11.022201870 0  migrations
    11.022201870 8  context-switches
    11.522527817 3908460  cache-references
    11.522527817 2825485  cache-misses
    11.522527817 1354990001  cycles
    11.522527817 292111406  instructions
    11.522527817 26557552  branches
    11.522527817 0  faults
    11.522527817 0  migrations
    11.522527817 5  context-switches
    12.023663979 3936097  cache-references
    12.023663979 2871540  cache-misses
    12.023663979 1388708803  cycles
    12.023663979 297053488  instructions
    12.023663979 27126635  branches
    12.023663979 0  faults
    12.023663979 0  migrations
    12.023663979 1  context-switches
    12.524040504 3807234  cache-references
    12.524040504 2788768  cache-misses
    12.524040504 1380097501  cycles
    12.524040504 296949596  instructions
    12.524040504 27006059  branches
    12.524040504 0  faults
    12.524040504 0  migrations
    12.524040504 8  context-switches
    13.024401279 3878242  cache-references
    13.024401279 2834422  cache-misses
    13.024401279 1377364838  cycles
    13.024401279 295297127  instructions
    13.024401279 26930913  branches
    13.024401279 0  faults
    13.024401279 0  migrations
    13.024401279 2  context-switches
    13.524750290 3873426  cache-references
    13.524750290 2819222  cache-misses
    13.524750290 1376448193  cycles
    13.524750290 293875826  instructions
    13.524750290 26835481  branches
    13.524750290 0  faults
    13.524750290 0  migrations
    13.524750290 6  context-switches
    14.025189886 3864614  cache-references
    14.025189886 2811983  cache-misses
    14.025189886 1369147999  cycles
    14.025189886 291533284  instructions
    14.025189886 26579296  branches
    14.025189886 0  faults
    14.025189886 0  migrations
    14.025189886 2  context-switches
    14.525776510 3800320  cache-references
    14.525776510 2799726  cache-misses
    14.525776510 1376979385  cycles
    14.525776510 294390693  instructions
    14.525776510 26898725  branches
    14.525776510 0  faults
    14.525776510 0  migrations
    14.525776510 6  context-switches
    15.026243714 3838038  cache-references
    15.026243714 2669951  cache-misses
    15.026243714 1250851253  cycles
    15.026243714 421656912  instructions
    15.026243714 64178064  branches
    15.026243714 2061  faults
    15.026243714 0  migrations
    15.026243714 72  context-switches
    15.527137824 3878873  cache-references
    15.527137824 2780479  cache-misses
    15.527137824 1332529793  cycles
    15.527137824 382410515  instructions
    15.527137824 50881634  branches
    15.527137824 632  faults
    15.527137824 0  migrations
    15.527137824 38  context-switches
    16.027873270 3651930  cache-references
    16.027873270 2720577  cache-misses
    16.027873270 1358739690  cycles
    16.027873270 291287024  instructions
    16.027873270 26619342  branches
    16.027873270 0  faults
    16.027873270 0  migrations
    16.027873270 6  context-switches
    16.528346491 3855321  cache-references
    16.528346491 2866516  cache-misses
    16.528346491 1407270520  cycles
    16.528346491 300184428  instructions
    16.528346491 27398765  branches
    16.528346491 0  faults
    16.528346491 0  migrations
    16.528346491 8  context-switches
    17.030128296 3749289  cache-references
    17.030128296 2793234  cache-misses
    17.030128296 1341109806  cycles
    17.030128296 285756007  instructions
    17.030128296 26074548  branches
    17.030128296 0  faults
    17.030128296 0  migrations
    17.030128296 10  context-switches
    17.531058611 3700805  cache-references
    17.531058611 2754277  cache-misses
    17.531058611 1337568756  cycles
    17.531058611 286011333  instructions
    17.531058611 26031002  branches
    17.531058611 0  faults
    17.531058611 0  migrations
    17.531058611 8  context-switches
    18.031954379 3682989  cache-references
    18.031954379 2737290  cache-misses
    18.031954379 1348898350  cycles
    18.031954379 287407329  instructions
    18.031954379 26224541  branches
    18.031954379 0  faults
    18.031954379 0  migrations
    18.031954379 6  context-switches
    18.532118510 3642768  cache-references
    18.532118510 2721421  cache-misses
    18.532118510 1355853671  cycles
    18.532118510 289107776  instructions
    18.532118510 26389958  branches
    18.532118510 0  faults
    18.532118510 0  migrations
    18.532118510 9  context-switches
    19.032984326 3687488  cache-references
    19.032984326 2749893  cache-misses
    19.032984326 1337412876  cycles
    19.032984326 287418937  instructions
    19.032984326 26175218  branches
    19.032984326 0  faults
    19.032984326 0  migrations
    19.032984326 9  context-switches
    19.538367184 3689467  cache-references
    19.538367184 2827730  cache-misses
    19.538367184 1420933580  cycles
    19.538367184 304640842  instructions
    19.538367184 27752536  branches
    19.538367184 0  faults
    19.538367184 0  migrations
    19.538367184 4  context-switches
    20.039623065 3495461  cache-references
    20.039623065 2670152  cache-misses
    20.039623065 1364968920  cycles
    20.039623065 293191757  instructions
    20.039623065 26759271  branches
    20.039623065 0  faults
    20.039623065 0  migrations
    20.039623065 4  context-switches
    20.540000510 3492297  cache-references
    20.540000510 2645207  cache-misses
    20.540000510 1366040607  cycles
    20.540000510 293430510  instructions
