# started on Sun Mar  5 14:58:56 2017

     0.500937830 3150986  L1-dcache-store-misses
     0.500937830 0  L1-dcache-prefetch-misses
     0.500937830 3121441  L1-icache-load-misses
     1.001435742 802859  L1-dcache-store-misses
     1.001435742 0  L1-dcache-prefetch-misses
     1.001435742 799963  L1-icache-load-misses
     1.501917344 736752  L1-dcache-store-misses
     1.501917344 0  L1-dcache-prefetch-misses
     1.501917344 153065  L1-icache-load-misses
     2.002187453 757643  L1-dcache-store-misses
     2.002187453 0  L1-dcache-prefetch-misses
     2.002187453 162201  L1-icache-load-misses
     2.502395984 763246  L1-dcache-store-misses
     2.502395984 0  L1-dcache-prefetch-misses
     2.502395984 150085  L1-icache-load-misses
     3.002714786 812226  L1-dcache-store-misses
     3.002714786 0  L1-dcache-prefetch-misses
     3.002714786 159034  L1-icache-load-misses
     3.502882050 743504  L1-dcache-store-misses
     3.502882050 0  L1-dcache-prefetch-misses
     3.502882050 159737  L1-icache-load-misses
     4.003371826 753762  L1-dcache-store-misses
     4.003371826 0  L1-dcache-prefetch-misses
     4.003371826 152518  L1-icache-load-misses
     4.503569858 751950  L1-dcache-store-misses
     4.503569858 0  L1-dcache-prefetch-misses
     4.503569858 163383  L1-icache-load-misses
     5.003910584 768870  L1-dcache-store-misses
     5.003910584 0  L1-dcache-prefetch-misses
     5.003910584 158701  L1-icache-load-misses
     5.504501125 789540  L1-dcache-store-misses
     5.504501125 0  L1-dcache-prefetch-misses
     5.504501125 151307  L1-icache-load-misses
     6.004929666 812939  L1-dcache-store-misses
     6.004929666 0  L1-dcache-prefetch-misses
     6.004929666 174426  L1-icache-load-misses
     6.505633971 796918  L1-dcache-store-misses
     6.505633971 0  L1-dcache-prefetch-misses
     6.505633971 155186  L1-icache-load-misses
     7.006230866 744937  L1-dcache-store-misses
     7.006230866 0  L1-dcache-prefetch-misses
     7.006230866 159107  L1-icache-load-misses
     7.506729176 863390  L1-dcache-store-misses
     7.506729176 0  L1-dcache-prefetch-misses
     7.506729176 229880  L1-icache-load-misses
     8.007658628 833191  L1-dcache-store-misses
     8.007658628 0  L1-dcache-prefetch-misses
     8.007658628 765242  L1-icache-load-misses
     8.508015422 781330  L1-dcache-store-misses
     8.508015422 0  L1-dcache-prefetch-misses
     8.508015422 154908  L1-icache-load-misses
     9.009253462 859915  L1-dcache-store-misses
     9.009253462 0  L1-dcache-prefetch-misses
     9.009253462 172475  L1-icache-load-misses
     9.509734798 779939  L1-dcache-store-misses
     9.509734798 0  L1-dcache-prefetch-misses
     9.509734798 154109  L1-icache-load-misses
    10.010282569 785564  L1-dcache-store-misses
    10.010282569 0  L1-dcache-prefetch-misses
    10.010282569 167011  L1-icache-load-misses
    10.510750613 775999  L1-dcache-store-misses
    10.510750613 0  L1-dcache-prefetch-misses
    10.510750613 158840  L1-icache-load-misses
    11.011092409 766727  L1-dcache-store-misses
    11.011092409 0  L1-dcache-prefetch-misses
    11.011092409 161435  L1-icache-load-misses
    11.511646071 840276  L1-dcache-store-misses
    11.511646071 0  L1-dcache-prefetch-misses
    11.511646071 178315  L1-icache-load-misses
    12.011923891 828644  L1-dcache-store-misses
    12.011923891 0  L1-dcache-prefetch-misses
    12.011923891 159617  L1-icache-load-misses
    12.512363495 837046  L1-dcache-store-misses
    12.512363495 0  L1-dcache-prefetch-misses
    12.512363495 161670  L1-icache-load-misses
    13.012843872 834139  L1-dcache-store-misses
    13.012843872 0  L1-dcache-prefetch-misses
    13.012843872 163857  L1-icache-load-misses
    13.513384013 831565  L1-dcache-store-misses
    13.513384013 0  L1-dcache-prefetch-misses
    13.513384013 161594  L1-icache-load-misses
    14.013866211 838693  L1-dcache-store-misses
    14.013866211 0  L1-dcache-prefetch-misses
    14.013866211 159607  L1-icache-load-misses
    14.514390130 895794  L1-dcache-store-misses
    14.514390130 0  L1-dcache-prefetch-misses
    14.514390130 224470  L1-icache-load-misses
    15.014863784 914344  L1-dcache-store-misses
    15.014863784 0  L1-dcache-prefetch-misses
    15.014863784 884346  L1-icache-load-misses
    15.515242196 781315  L1-dcache-store-misses
    15.515242196 0  L1-dcache-prefetch-misses
    15.515242196 151933  L1-icache-load-misses
    16.015680893 779170  L1-dcache-store-misses
    16.015680893 0  L1-dcache-prefetch-misses
    16.015680893 154069  L1-icache-load-misses
    16.516150350 783070  L1-dcache-store-misses
    16.516150350 0  L1-dcache-prefetch-misses
    16.516150350 156026  L1-icache-load-misses
    17.016599426 789103  L1-dcache-store-misses
    17.016599426 0  L1-dcache-prefetch-misses
    17.016599426 164966  L1-icache-load-misses
    17.517658373 827995  L1-dcache-store-misses
    17.517658373 0  L1-dcache-prefetch-misses
    17.517658373 155103  L1-icache-load-misses
    18.018746100 777436  L1-dcache-store-misses
    18.018746100 0  L1-dcache-prefetch-misses
    18.018746100 150664  L1-icache-load-misses
    18.519340595 776256  L1-dcache-store-misses
    18.519340595 0  L1-dcache-prefetch-misses
    18.519340595 160225  L1-icache-load-misses
    19.019647670 776729  L1-dcache-store-misses
    19.019647670 0  L1-dcache-prefetch-misses
    19.019647670 160229  L1-icache-load-misses
    19.520071247 769541  L1-dcache-store-misses
    19.520071247 0  L1-dcache-prefetch-misses
    19.520071247 153101  L1-icache-load-misses
    20.020421977 761270  L1-dcache-store-misses
    20.020421977 0  L1-dcache-prefetch-misses
    20.020421977 174831  L1-icache-load-misses
    20.521139533 822928  L1-dcache-store-misses
    20.521139533 0  L1-dcache-prefetch-misses
    20.521139533 155445  L1-icache-load-misses
    21.021352925 926330  L1-dcache-store-misses
    21.021352925 0  L1-dcache-prefetch-misses
    21.021352925 188043  L1-icache-load-misses
    21.522645969 872074  L1-dcache-store-misses
    21.522645969 0  L1-dcache-prefetch-misses
    21.522645969 203478  L1-icache-load-misses
    22.023001533 780748  L1-dcache-store-misses
    22.023001533 0  L1-dcache-prefetch-misses
    22.023001533 792048  L1-icache-load-misses
    22.523990684 732845  L1-dcache-store-misses
    22.523990684 0  L1-dcache-prefetch-misses
    22.523990684 155672  L1-icache-load-misses
    23.024238076 743233  L1-dcache-store-misses
    23.024238076 0  L1-dcache-prefetch-misses
    23.024238076 152586  L1-icache-load-misses
    23.524772116 797492  L1-dcache-store-misses
    23.524772116 0  L1-dcache-prefetch-misses
    23.524772116 174521  L1-icache-load-misses
    24.025053171 720550  L1-dcache-store-misses
    24.025053171 0  L1-dcache-prefetch-misses
    24.025053171 158270  L1-icache-load-misses
    24.526414798 729940  L1-dcache-store-misses
    24.526414798 0  L1-dcache-prefetch-misses
    24.526414798 159744  L1-icache-load-misses
    25.026984795 736345  L1-dcache-store-misses
    25.026984795 0  L1-dcache-prefetch-misses
    25.026984795 164221  L1-icache-load-misses
    25.527515963 736950  L1-dcache-store-misses
    25.527515963 0  L1-dcache-prefetch-misses
    25.527515963 160391  L1-icache-load-misses
    26.027799132 778824  L1-dcache-store-misses
    26.027799132 0  L1-dcache-prefetch-misses
    26.027799132 155698  L1-icache-load-misses
    26.528263369 795909  L1-dcache-store-misses
    26.528263369 0  L1-dcache-prefetch-misses
    26.528263369 157406  L1-icache-load-misses
    27.028525534 807757  L1-dcache-store-misses
    27.028525534 0  L1-dcache-prefetch-misses
    27.028525534 163084  L1-icache-load-misses
    27.529028409 795865  L1-dcache-store-misses
    27.529028409 0  L1-dcache-prefetch-misses
    27.529028409 165205  L1-icache-load-misses
    28.029465225 793013  L1-dcache-store-misses
    28.029465225 0  L1-dcache-prefetch-misses
    28.029465225 160015  L1-icache-load-misses
    28.529754810 834215  L1-dcache-store-misses
    28.529754810 0  L1-dcache-prefetch-misses
    28.529754810 192002  L1-icache-load-misses
    29.030318313 930700  L1-dcache-store-misses
    29.030318313 0  L1-dcache-prefetch-misses
    29.030318313 885562  L1-icache-load-misses
    29.530749701 745702  L1-dcache-store-misses
    29.530749701 0  L1-dcache-prefetch-misses
    29.530749701 155805  L1-icache-load-misses
    30.031249913 731258  L1-dcache-store-misses
    30.031249913 0  L1-dcache-prefetch-misses
    30.031249913 161752  L1-icache-load-misses
    30.531657448 749732  L1-dcache-store-misses
